City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
245,Ombessa,100,CM,2021-12-03 07:00:19,81,4.603,11.2565,74.26,2.33
246,Dukat,86,RU,2021-12-03 07:00:19,95,62.55,155.55,-31.92,6.42
247,Dakar,83,SN,2021-12-03 07:00:20,70,14.6937,-17.4441,70.68,18.63
248,Mekhe,99,SN,2021-12-03 07:00:20,31,15.1097,-16.6218,70.36,9.6
249,Huzhou,0,CN,2021-12-03 07:00:21,34,30.8703,120.0933,57.16,10.47
250,Surt,100,LY,2021-12-03 07:00:21,37,31.2089,16.5887,64.92,15.26
251,Anda,7,CN,2021-12-03 07:00:21,81,46.4,125.3167,15.24,9.28
252,Henties Bay,24,NA,2021-12-03 07:00:22,79,-22.116,14.2845,60.85,2.66
253,Yumen,0,CN,2021-12-03 07:00:22,21,40.2833,97.2,38.97,17.9
254,Coquimbo,5,CL,2021-12-03 07:00:23,86,-29.9533,-71.3436,57.99,2.46
255,Moorslede,100,BE,2021-12-03 07:00:23,90,50.874,3.0759,37.71,11.88
256,Sompeta,100,IN,2021-12-03 07:00:23,71,18.9333,84.6,74.39,13.44
257,Alice Springs,12,AU,2021-12-03 07:00:24,11,-23.7,133.8833,99.95,16.11
258,Mitsamiouli,6,KM,2021-12-03 07:00:24,71,-11.3847,43.2844,82.89,12.97
259,Nevel,100,RU,2021-12-03 07:00:25,88,56.0209,29.9284,31.39,13.38
260,Nome,90,US,2021-12-03 07:00:25,78,64.5011,-165.4064,-0.83,12.66
261,Moree,0,AU,2021-12-03 07:00:26,30,-29.4667,149.85,90.73,11.68
262,Carupano,100,VE,2021-12-03 07:00:26,89,10.6678,-63.2585,74.79,4.68
263,Port Elizabeth,83,ZA,2021-12-03 07:00:26,62,-33.918,25.5701,68.09,7.09
264,Casablanca,0,MA,2021-12-03 07:00:27,69,33.5928,-7.6192,43.02,5.68
265,Camara De Lobos,75,PT,2021-12-03 07:00:27,87,32.6333,-16.9667,64.71,3.0
266,Yeppoon,20,AU,2021-12-03 07:00:28,73,-23.1333,150.7333,87.58,11.34
267,Uglegorskiy,68,RU,2021-12-03 07:00:28,86,48.2427,41.2531,40.98,16.11
268,Fare,46,PF,2021-12-03 07:00:28,72,-16.7,-151.0167,81.21,22.1
269,Port Lincoln,100,AU,2021-12-03 07:00:29,59,-34.7333,135.8667,61.75,15.64
270,Chokurdakh,100,RU,2021-12-03 07:00:29,95,70.6333,147.9167,-19.1,11.83
271,Bay City,1,US,2021-12-03 07:00:30,85,43.5945,-83.8889,34.11,4.61
272,Pandan,98,PH,2021-12-03 07:00:30,78,14.0453,124.1694,76.87,18.05
273,Bestobe,100,KZ,2021-12-03 07:00:30,95,52.4994,73.0975,33.6,16.37
274,Bronnoysund,0,NO,2021-12-03 07:00:31,68,65.4625,12.1997,24.91,2.3
275,Elsterwerda,11,DE,2021-12-03 07:01:31,81,51.45,13.5333,30.29,12.17
276,Noyabrsk,100,RU,2021-12-03 07:01:32,90,63.1994,75.4507,4.64,16.13
277,Avera,0,US,2021-12-03 07:01:32,77,33.194,-82.5271,60.67,7.87
278,Port Shepstone,100,ZA,2021-12-03 07:01:33,59,-30.7414,30.455,68.36,13.73
279,Champerico,100,GT,2021-12-03 07:01:33,78,14.3,-91.9167,74.28,4.72
280,Viedma,100,AR,2021-12-03 07:01:33,71,-40.8135,-62.9967,54.72,5.84
281,Walvis Bay,21,NA,2021-12-03 07:01:34,75,-22.9575,14.5053,61.09,5.32
282,Ushtobe,100,KZ,2021-12-03 07:01:34,26,45.2514,77.9838,52.05,5.39
283,Erzin,0,TR,2021-12-03 07:01:35,40,36.9559,36.2,50.52,1.12
284,Nelson Bay,9,AU,2021-12-03 06:57:33,84,-32.7167,152.15,74.28,1.99
285,Kitwe,6,ZM,2021-12-03 07:01:35,36,-12.7961,28.2477,83.73,9.75
286,Sitka,90,US,2021-12-03 07:01:35,75,57.0531,-135.33,33.69,13.8
287,Ossora,9,RU,2021-12-03 07:01:36,68,59.2353,163.0719,26.76,34.9
288,Limbang,100,MY,2021-12-03 07:01:36,86,4.75,115.0,77.11,3.87
289,Praia,75,CV,2021-12-03 07:01:37,73,14.9215,-23.5087,72.14,18.41
290,Hualmay,100,PE,2021-12-03 07:01:37,86,-11.0964,-77.6139,65.68,8.16
291,Rodeo,1,US,2021-12-03 07:01:37,84,38.033,-122.2669,56.39,1.01
